"","city","state","totalpop","latitude","longitude"
"1","Aaronsburg","PA",1217,40.89869,-77.456184
"2","Abbeville","AL",6783,31.559402,-85.222965
"3","Abbeville","GA",4816,31.977048,-83.372515
"4","Abbeville","LA",25313,29.946603,-92.241595
"5","Abbeville","MS",2371,34.471941,-89.447507
"6","Abbeville","SC",12934,34.215714,-82.446307
"7","Abbot","ME",819,45.184103,-69.233382
"8","Abbotsford","WI",3032,44.960186,-90.374893
"9","Abbott","TX",1037,31.88454,-97.077218
"10","Abbottstown","PA",4053,39.896923,-76.994725
"11","Abbyville","KS",281,38.013705,-98.169523
"12","Abell","MD",431,38.247149,-76.748088
"13","Abercrombie","ND",55,46.447936,-96.727788
"14","Aberdeen Proving Ground","MD",2112,39.477062,-76.120824
"15","Aberdeen","ID",3449,43.004883,-112.839971
"16","Aberdeen","MD",21487,39.499909,-76.231177
"17","Aberdeen","MS",11805,33.847638,-88.514694
"18","Aberdeen","NC",11681,35.203802,-79.517795
"19","Aberdeen","OH",2385,38.693525,-83.740804
"20","Aberdeen","SD",30061,45.476172,-98.410405
"21","Aberdeen","WA",23814,47.002735,-123.67129
"22","Abernathy","TX",3445,33.949361,-101.81782
"23","Abie","NE",77,41.332034,-96.949369
"24","Abilene","KS",10141,38.9111,-97.195283
"25","Abilene","TX",124196,32.3743283333333,-99.801964
"26","Abingdon","IL",3912,40.927973,-90.304039
"27","Abingdon","MD",29766,39.472579,-76.277279
"28","Abingdon","VA",26762,36.7037385,-81.9957695
"29","Abington","MA",16029,42.11749,-70.959888
"30","Abington","PA",17020,40.123805,-75.114767
"31","Abiquiu","NM",1096,36.219921,-106.262778
"32","Abita Springs","LA",7345,30.477483,-89.955328
"33","Abrams","WI",2751,44.792284,-88.044067
"34","Absaraka","ND",23,46.859694,-97.214587
"35","Absarokee","MT",1643,45.515571,-109.455156
"36","Absecon","NJ",38633,39.48909,-74.680323
"37","Acampo","CA",7273,38.198666,-121.230207
"38","Accident","MD",2074,39.58935,-79.230969
"39","Accokeek","MD",9802,38.666071,-76.998396
"40","Accomac","VA",1831,37.712919,-75.661132
"41","Accord","NY",3385,41.949147,-74.130688
"42","Accoville","WV",964,37.833204,-81.902401
"43","Ace","TX",69,30.520924,-94.822101
"44","Achille","OK",608,33.924443,-96.264411
"45","Ackerly","TX",592,32.527337,-101.715971
"46","Ackerman","MS",3916,33.278252,-89.191298
"47","Ackley","IA",2464,42.408805,-93.09251
"48","Ackworth","IA",680,41.384345,-93.424294
"49","Acme","LA",37,31.308416,-91.823219
"50","Acme","PA",3738,40.120149,-79.405069
"51","Acme","WA",634,48.688554,-122.186966
"52","Acosta","PA",293,40.113021,-79.070218
"53","Acra","NY",780,42.315975,-74.065515
"54","Acton","CA",7993,33.786594,-118.298662
"55","Acton","MA",21361,42.446396,-71.459405
"56","Acton","ME",2429,43.520752,-70.804588
"57","Acton","MT",165,45.929056,-108.688831
"58","Acushnet","MA",10307,41.711894,-70.908286
"59","Acworth","GA",91843,34.047039,-84.631595
"60","Acworth","NH",477,43.195982,-72.300075
"61","Ada","MI",18701,42.963833,-85.482266
"62","Ada","MN",2333,47.325283,-96.597259
"63","Ada","OH",8460,40.676042,-83.700633
"64","Ada","OK",30802,34.748961,-96.685325
"65","Adah","PA",905,39.912105,-79.89636
"66","Adair","IA",1297,41.439109,-94.633805
"67","Adair","IL",378,40.387329,-90.506582
"68","Adair","OK",2884,36.43736,-95.26975
"69","Adairsville","GA",14781,34.296339,-84.909216
"70","Adairville","KY",2389,36.772851,-86.860422
"71","Adak","AK",326,54.24018,-176.787412
"72","Adamant","VT",161,44.174872,-72.502235
"73","Adams Center","NY",2716,43.831853,-76.007188
"74","Adams Run","SC",1741,32.779028,-80.328772
"75","Adams","KY",238,38.074113,-82.744663
"76","Adams","MA",8603,42.385595,-73.172166
"77","Adams","MN",1428,43.565168,-92.74389
"78","Adams","ND",322,48.383547,-97.997964
"79","Adams","NE",1466,40.45603,-96.513526
"80","Adams","NY",4777,43.960222,-75.905634
"81","Adams","OK",156,36.755,-101.077969
"82","Adams","OR",815,45.724767,-118.490788
"83","Adams","TN",4679,36.556825,-87.018127
"84","Adams","WI",3508,43.892066,-89.827509
"85","Adamsburg","PA",543,40.303771,-79.653058
"86","Adamstown","MD",4515,39.291049,-77.455243
"87","Adamstown","PA",1047,40.242327,-76.057696
"88","Adamsville","AL",7942,33.578097,-86.987228
"89","Adamsville","OH",1075,40.090767,-81.855203
"90","Adamsville","PA",314,41.629436,-80.214024
"91","Adamsville","TN",6145,35.271057,-88.447528
"92","Addieville","IL",1229,38.381545,-89.579449
"93","Addington","OK",149,34.069661,-97.838026
"94","Addis","LA",3593,30.362992,-91.263088
"95","Addison","AL",2415,34.229897,-87.358538
"96","Addison","IL",39119,41.887579,-88.022516
"97","Addison","ME",1272,45.002969,-67.495548
